% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 37.41    0.123201        4248        29           poll
 33.60    0.110668          70      1575      1148 ioctl
 20.51    0.067542         710        95         6 futex
  2.93    0.009652           0     11418         2 lstat
  1.59    0.005243           0      5897       651 stat
  1.19    0.003924           1      2589           read
  0.70    0.002308           0      2352       879 openat
  0.54    0.001778           0      2275           fstat
  0.38    0.001244           1      1023           brk
  0.35    0.001138           1       960           mmap
  0.16    0.000542           0      1470           close
  0.16    0.000515           0      2276         3 lseek
  0.14    0.000454           0       560           munmap
  0.12    0.000411           1       394           getdents64
  0.08    0.000257           0       464       175 newfstatat
  0.05    0.000150           1       121           mprotect
  0.02    0.000064           1        34           clone3
  0.01    0.000036          36         1           vfork
  0.01    0.000034           0        61           fcntl
  0.01    0.000031           0       106           rt_sigprocmask
  0.01    0.000017           0        22           write
  0.00    0.000016           0        37           set_robust_list
  0.00    0.000015           0        37           rseq
  0.00    0.000012           0        28           pread64
  0.00    0.000012           2         5         2 access
  0.00    0.000012           0        32           mbind
  0.00    0.000009           1         8         7 unlink
  0.00    0.000007           3         2           socket
  0.00    0.000007           7         1           wait4
  0.00    0.000006           1         6         6 symlink
  0.00    0.000006           1         5           pipe2
  0.00    0.000006           0         7           getrandom
  0.00    0.000004           0        12           getpid
  0.00    0.000004           1         3         3 mkdir
  0.00    0.000004           2         2           sysinfo
  0.00    0.000004           1         3           eventfd2
  0.00    0.000003           0         7           dup
  0.00    0.000003           3         1           bind
  0.00    0.000003           0         7           getcwd
  0.00    0.000003           0         5           sched_get_priority_max
  0.00    0.000003           0         5           sched_get_priority_min
  0.00    0.000002           2         1           listen
  0.00    0.000002           0         7           uname
  0.00    0.000002           2         1           get_mempolicy
  0.00    0.000002           2         1           epoll_create1
  0.00    0.000001           0       136           rt_sigaction
  0.00    0.000001           0         5           gettid
  0.00    0.000001           0         6           sched_getaffinity
  0.00    0.000001           0         5           prlimit64
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1         1 connect
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         3           execve
  0.00    0.000000           0        26        19 readlink
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         3           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         6         3 arch_prctl
  0.00    0.000000           0        34           sched_setaffinity
  0.00    0.000000           0         3           set_tid_address
  0.00    0.000000           0        33           clock_nanosleep
------ ----------- ----------- --------- --------- -----------------------
100.00    0.329360           9     34215      2905 total
