% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 47.32    0.121285        9329        13           poll
 41.30    0.105875          58      1809      1148 ioctl
  4.36    0.011173           0     11418         2 lstat
  2.59    0.006632           1      5897       651 stat
  1.04    0.002654           1      2352       879 openat
  0.59    0.001506           0      2275           fstat
  0.52    0.001321           0      2589           read
  0.42    0.001086           1       959           mmap
  0.25    0.000637           7        83         1 futex
  0.24    0.000625         625         1           wait4
  0.20    0.000503           1       394           getdents64
  0.18    0.000463           0      1066           brk
  0.17    0.000427           0      1470           close
  0.14    0.000366           0       560           munmap
  0.13    0.000339           0      2276         3 lseek
  0.09    0.000222           0       464       175 newfstatat
  0.08    0.000195           1       121           mprotect
  0.06    0.000160           4        34           clone3
  0.06    0.000159          53         3           execve
  0.05    0.000125           3        34           sched_setaffinity
  0.03    0.000078           0       106           rt_sigprocmask
  0.02    0.000061           1        37           rseq
  0.02    0.000057           0        61           fcntl
  0.02    0.000047           2        22           write
  0.02    0.000040           1        37           set_robust_list
  0.02    0.000039           1        26        19 readlink
  0.01    0.000031           6         5           pipe2
  0.01    0.000023           0       136           rt_sigaction
  0.01    0.000023           0        33           clock_nanosleep
  0.01    0.000016           0        32           mbind
  0.01    0.000014           1        12           getpid
  0.01    0.000014           7         2           socket
  0.01    0.000014           4         3           eventfd2
  0.00    0.000012           2         5         2 access
  0.00    0.000010           0        28           pread64
  0.00    0.000010           1         8         7 unlink
  0.00    0.000009           4         2           sysinfo
  0.00    0.000007           1         7           dup
  0.00    0.000007           7         1         1 connect
  0.00    0.000007           1         6         6 symlink
  0.00    0.000007           1         5           gettid
  0.00    0.000006           1         6         3 arch_prctl
  0.00    0.000005           1         3         3 mkdir
  0.00    0.000005           1         5           prlimit64
  0.00    0.000004           0         7           uname
  0.00    0.000004           4         1           epoll_create1
  0.00    0.000004           0         7           getrandom
  0.00    0.000003           3         1           bind
  0.00    0.000003           1         3           geteuid
  0.00    0.000003           0         5           sched_get_priority_min
  0.00    0.000002           2         1           listen
  0.00    0.000002           2         1           setsockopt
  0.00    0.000002           0         5           sched_get_priority_max
  0.00    0.000002           0         3           set_tid_address
  0.00    0.000002           2         1           get_mempolicy
  0.00    0.000001           0         7           getcwd
  0.00    0.000001           1         1           getuid
  0.00    0.000001           1         1           getegid
  0.00    0.000001           1         1           getppid
  0.00    0.000001           0         6           sched_getaffinity
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         1           getgid
------ ----------- ----------- --------- --------- -----------------------
100.00    0.256331           7     34463      2900 total
