% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 48.95    0.142336       10166        14           poll
 38.59    0.112215          62      1806      1148 ioctl
  3.61    0.010506           0     11418         2 lstat
  2.85    0.008274           0     13411           sched_yield
  1.62    0.004700           0      5897       651 stat
  0.92    0.002676           1      2275           fstat
  0.82    0.002371           1      2352       879 openat
  0.46    0.001351           0      2589           read
  0.45    0.001312           0      1470           close
  0.45    0.001295           1       959           mmap
  0.25    0.000740         740         1           wait4
  0.18    0.000514           0      2276         3 lseek
  0.16    0.000455           0       559           munmap
  0.15    0.000437           1       394           getdents64
  0.10    0.000289           0      1040           brk
  0.09    0.000261           0       464       175 newfstatat
  0.07    0.000197           2        82           futex
  0.06    0.000168           1       121           mprotect
  0.05    0.000149          49         3           execve
  0.03    0.000083           2        34           sched_setaffinity
  0.02    0.000051           0        61           fcntl
  0.02    0.000048           1        34           clone3
  0.02    0.000046           2        22           write
  0.02    0.000045           0       136           rt_sigaction
  0.01    0.000031           1        28           pread64
  0.01    0.000030           0        37           rseq
  0.01    0.000027           9         3           eventfd2
  0.01    0.000021           0       106           rt_sigprocmask
  0.01    0.000020           0        37           set_robust_list
  0.01    0.000019           2         8         7 unlink
  0.01    0.000019           3         5           gettid
  0.01    0.000016           1        12           getpid
  0.01    0.000015           0        26        19 readlink
  0.00    0.000014           0        33           clock_nanosleep
  0.00    0.000009           4         2           sysinfo
  0.00    0.000007           1         5           prlimit64
  0.00    0.000006           0         7           dup
  0.00    0.000006           3         2           socket
  0.00    0.000005           1         5           pipe2
  0.00    0.000004           4         1           bind
  0.00    0.000004           0         7           uname
  0.00    0.000004           1         3         3 mkdir
  0.00    0.000004           0         6         3 arch_prctl
  0.00    0.000004           0         7           getrandom
  0.00    0.000003           0         5         2 access
  0.00    0.000003           0         6         6 symlink
  0.00    0.000003           0         5           sched_get_priority_max
  0.00    0.000003           0         6           sched_getaffinity
  0.00    0.000002           2         1           listen
  0.00    0.000002           0         3           geteuid
  0.00    0.000002           0         3           set_tid_address
  0.00    0.000001           1         1         1 connect
  0.00    0.000001           0         7           getcwd
  0.00    0.000001           1         1           getuid
  0.00    0.000001           1         1           getgid
  0.00    0.000001           1         1           getppid
  0.00    0.000001           0         5           sched_get_priority_min
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0        32           mbind
  0.00    0.000000           0         1           get_mempolicy
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- -----------------------
100.00    0.290808           6     47844      2899 total
