% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 45.73    0.122282       10190        12           poll
 42.27    0.113030          71      1572      1148 ioctl
  4.50    0.012024           1     11418         2 lstat
  2.00    0.005347           0      5897       651 stat
  0.90    0.002411           1      2352       879 openat
  0.74    0.001969           0      2275           fstat
  0.66    0.001773           0      2589           read
  0.59    0.001572           1       959           mmap
  0.59    0.001567           0      2276         3 lseek
  0.50    0.001347           1      1022           brk
  0.27    0.000725           1       559           munmap
  0.24    0.000637           0      1470           close
  0.21    0.000571          16        34           sched_setaffinity
  0.20    0.000522           1       394           getdents64
  0.11    0.000282           0       464       175 newfstatat
  0.09    0.000229           1       121           mprotect
  0.08    0.000217           6        34           clone3
  0.07    0.000179           2        82           futex
  0.05    0.000137           1       106           rt_sigprocmask
  0.04    0.000105           3        33           clock_nanosleep
  0.02    0.000060           1        32           mbind
  0.02    0.000059           1        37           set_robust_list
  0.02    0.000053           1        37           rseq
  0.02    0.000052           0        61           fcntl
  0.02    0.000046           0       136           rt_sigaction
  0.01    0.000032           1        26        19 readlink
  0.01    0.000025           1        22           write
  0.01    0.000022           0        28           pread64
  0.01    0.000022           4         5           pipe2
  0.01    0.000018           6         3           eventfd2
  0.00    0.000013           6         2           socket
  0.00    0.000010           5         2           sysinfo
  0.00    0.000009           0        12           getpid
  0.00    0.000008           1         5         2 access
  0.00    0.000008           1         8         7 unlink
  0.00    0.000007           7         1         1 connect
  0.00    0.000006           1         6         6 symlink
  0.00    0.000006           1         5           gettid
  0.00    0.000005           0         7           dup
  0.00    0.000004           1         3         3 mkdir
  0.00    0.000004           4         1           epoll_create1
  0.00    0.000003           3         1           bind
  0.00    0.000003           0         7           getcwd
  0.00    0.000003           0         5           prlimit64
  0.00    0.000002           2         1           listen
  0.00    0.000002           2         1           setsockopt
  0.00    0.000002           0         5           sched_get_priority_min
  0.00    0.000002           2         1           get_mempolicy
  0.00    0.000002           0         7           getrandom
  0.00    0.000001           1         1           vfork
  0.00    0.000001           0         7           uname
  0.00    0.000001           0         3           geteuid
  0.00    0.000001           0         5           sched_get_priority_max
  0.00    0.000001           0         3           set_tid_address
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         3           execve
  0.00    0.000000           0         1           wait4
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         6         3 arch_prctl
  0.00    0.000000           0         6           sched_getaffinity
------ ----------- ----------- --------- --------- -----------------------
100.00    0.267419           7     34179      2899 total
