% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 37.00    0.122778        6821        18           poll
 34.00    0.112825          71      1572      1148 ioctl
 19.72    0.065437         779        84         1 futex
  3.87    0.012848           1     11418         2 lstat
  1.93    0.006408           1      5897       651 stat
  1.00    0.003321           1      2588           read
  0.50    0.001674           0      2352       879 openat
  0.40    0.001312           0      2276         3 lseek
  0.35    0.001158           1       959           mmap
  0.19    0.000636           0      2275           fstat
  0.18    0.000584           1       560           munmap
  0.13    0.000437          12        34           sched_setaffinity
  0.13    0.000427           0      1470           close
  0.12    0.000390           0      1021           brk
  0.10    0.000331           0       394           getdents64
  0.07    0.000223           0       464       175 newfstatat
  0.07    0.000220           6        34           clone3
  0.06    0.000210           1       121           mprotect
  0.03    0.000105           0       106           rt_sigprocmask
  0.02    0.000079           2        33           clock_nanosleep
  0.02    0.000073           1        37           set_robust_list
  0.02    0.000056           1        37           rseq
  0.01    0.000047           0        61           fcntl
  0.01    0.000036           1        22           write
  0.01    0.000033           4         8         7 unlink
  0.01    0.000032           6         5           pipe2
  0.01    0.000026           1        26        19 readlink
  0.00    0.000014           7         2           socket
  0.00    0.000012           0       136           rt_sigaction
  0.00    0.000011           5         2           sysinfo
  0.00    0.000010          10         1         1 connect
  0.00    0.000009           1         6         6 symlink
  0.00    0.000008           0        28           pread64
  0.00    0.000008           1         5         2 access
  0.00    0.000008           0        12           getpid
  0.00    0.000008           1         5           gettid
  0.00    0.000006           0         7           dup
  0.00    0.000006           2         3           eventfd2
  0.00    0.000005           0         7           uname
  0.00    0.000005           1         3         3 mkdir
  0.00    0.000005           0         7           getrandom
  0.00    0.000003           3         1           bind
  0.00    0.000003           3         1           setsockopt
  0.00    0.000003           0         7           getcwd
  0.00    0.000002           2         1           listen
  0.00    0.000002           0         6           sched_getaffinity
  0.00    0.000002           2         1           get_mempolicy
  0.00    0.000001           0         3           geteuid
  0.00    0.000001           0         5           sched_get_priority_max
  0.00    0.000001           0         5           sched_get_priority_min
  0.00    0.000001           0         5           prlimit64
  0.00    0.000000           0         1           open
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         3           execve
  0.00    0.000000           0         1           wait4
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         6         3 arch_prctl
  0.00    0.000000           0         3           set_tid_address
  0.00    0.000000           0        32           mbind
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- -----------------------
100.00    0.331840           9     34186      2900 total
