% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 46.28    0.113902        7118        16           poll
 42.47    0.104538          66      1572      1148 ioctl
  3.53    0.008693           0     11418         2 lstat
  1.67    0.004117           0      5897       651 stat
  1.46    0.003583           1      2352       879 openat
  1.29    0.003175           1      2587           read
  0.63    0.001551           0      2275           fstat
  0.53    0.001296           0      2276         3 lseek
  0.47    0.001146           2       464       175 newfstatat
  0.46    0.001120           1       959           mmap
  0.16    0.000406           0      1022           brk
  0.16    0.000400           0      1470           close
  0.15    0.000380           0       559           munmap
  0.15    0.000363         363         1           wait4
  0.14    0.000356          10        34           sched_setaffinity
  0.14    0.000351           0       394           getdents64
  0.05    0.000131           1       121           mprotect
  0.04    0.000087           2        34           clone3
  0.03    0.000076           0        82           futex
  0.03    0.000064           1        33           clock_nanosleep
  0.02    0.000044          14         3           execve
  0.02    0.000040           0        61           fcntl
  0.02    0.000037           0       106           rt_sigprocmask
  0.01    0.000032           0        37           rseq
  0.01    0.000029           0       136           rt_sigaction
  0.01    0.000028          28         1           open
  0.01    0.000024           0        37           set_robust_list
  0.01    0.000024           8         3           eventfd2
  0.01    0.000019           0        22           write
  0.01    0.000019           0        26        19 readlink
  0.00    0.000008           0        28           pread64
  0.00    0.000008           1         5           gettid
  0.00    0.000008           1         6           sched_getaffinity
  0.00    0.000007           0         8         7 unlink
  0.00    0.000006           0        12           getpid
  0.00    0.000006           1         6         6 symlink
  0.00    0.000005           2         2           socket
  0.00    0.000005           1         3         3 mkdir
  0.00    0.000005           2         2           sysinfo
  0.00    0.000005           0         7           getrandom
  0.00    0.000004           0         7           uname
  0.00    0.000004           0         6         3 arch_prctl
  0.00    0.000004           0         5           prlimit64
  0.00    0.000003           0         5         2 access
  0.00    0.000003           3         1           bind
  0.00    0.000003           0         5           sched_get_priority_max
  0.00    0.000002           0         7           dup
  0.00    0.000002           2         1           listen
  0.00    0.000002           0         3           geteuid
  0.00    0.000002           2         1           get_mempolicy
  0.00    0.000002           0         5           pipe2
  0.00    0.000001           1         1         1 connect
  0.00    0.000001           0         7           getcwd
  0.00    0.000001           1         1           getuid
  0.00    0.000001           1         1           getgid
  0.00    0.000001           1         1           getegid
  0.00    0.000001           1         1           getppid
  0.00    0.000001           0         5           sched_get_priority_min
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         3           set_tid_address
  0.00    0.000000           0        32           mbind
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- -----------------------
100.00    0.246132           7     34181      2899 total
